name,series,code,mer,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Scotia Partners Growth Portfolio Class,FT,BNS51448,1.41,,,,,,,,,,,11.4
Scotia Wealth Short-Mid Government Bond Pool,K,PIN6400,0.12,,,,,0.5,2.3,3.0,7.2,-2.2,-6.4,5.0
Scotia Wealth U.S. Value Pool,Pinnacle,PIN500,0.24,,10.7,10.9,-3.4,11.0,4.7,17.6,7.1,18.6,4.0,0.4
Scotia Wealth Total Return Bond Pool,M,,0.13,,,,,3.1,2.3,6.0,8.7,-2.1,-10.9,7.2
Scotia Selected Maximum Growth Portfolio,FT,BNS5444,1.11,,,,,,,,,,,13.8
Scotia Wealth Strategic Balanced Pool,Pinnacle,PIN300,0.36,,8.1,-0.7,13.1,3.5,-2.1,12.6,1.9,14.1,-6.4,7.0
Scotia Dividend Balanced Fund,F,BNS510,1.11,,,,,,,,,,,7.6
Scotia Wealth Emerging Markets Pool,F,PIN1655,1.31,,,,,,,8.6,8.6,-3.7,-19.2,1.1
Scotia Mortgage Income Fund,M,,0.33,,,2.0,2.2,2.3,3.3,3.2,2.7,1.7,0.8,4.2
Scotia INNOVA Income Portfolio Class,F,BNS51330,0.88,,,,,,,,,,,8.2
Scotia Money Market Fund,F,BNS557,0.58,,,,,,,,,,,4.4
Scotia INNOVA Maximum Growth Portfolio,F,BNS5334,1.27,,,,,,,,,,,12.5
Scotia INNOVA Income Portfolio,T,BNS430,1.89,,7.0,1.9,3.0,2.8,-0.8,6.0,4.3,1.5,-9.6,6.6
Scotia U.S. Equity Blend Class,A,BNS1370,2.24,,14.8,18.3,-3.2,13.3,9.1,23.7,22.1,19.0,-20.5,14.7
Scotia Partners Maximum Growth Portfolio Class,FT,BNS51449,1.49,,,,,,,,,,,12.1
Scotia Mortgage Income Fund,A,BNS361,1.48,,1.0,0.8,1.0,1.1,2.2,2.1,1.6,0.6,-0.4,3.0
Scotia Wealth Canadian Core Bond Pool,Pinnacle,PIN180,0.09,,,,,,,,,-2.3,-11.5,7.3
Scotia Wealth Canadian Corporate Bond Pool,M,,0.1,,6.4,3.0,3.8,2.0,1.4,6.2,7.7,-1.5,-6.3,7.2
Scotia INNOVA Growth Portfolio Class,A,BNS1333,2.33,,10.6,7.2,4.2,7.4,-4.4,13.8,5.2,12.9,-11.5,10.7
Scotia Partners Maximum Growth Portfolio,F,BNS549,1.42,,10.6,4.9,7.3,12.1,-3.8,18.2,10.0,14.8,-13.2,12.3
Scotia Wealth Global High Yield Pool,F,PIN1250,0.92,,,,,,,13.9,2.6,1.7,-11.2,9.9
Scotia Wealth North American Dividend Pool,K,PIN6700,0.31,,,,,14.2,-0.5,25.7,6.6,25.5,-5.9,14.0
Scotia Partners Balanced Income Portfolio,FT,BNS5446,1.08,,,,,,,,,,,8.8
